1,0.050175
2,0.098904
3,0.148594
4,0.197172
5,0.24426
6,0.292653
7,0.339668
8,0.3872
9,0.432079
10,0.478464
11,0.523103
12,0.567623
13,0.612491
14,0.656245
15,0.700126
16,0.743867
17,0.785773
18,0.828534
19,0.86952
20,0.909651
21,0.950716
22,0.992145
23,1.032704
24,1.071618
25,1.111098
26,1.151127
27,1.190321
28,1.227406
29,1.263593
30,1.299046
31,1.337066
32,1.375461
33,1.409815
34,1.447792
35,1.483907
36,1.518021
37,1.552799
38,1.586848
39,1.620018
40,1.654535
41,1.689036
42,1.721687
43,1.75444
44,1.786047
45,1.821266
46,1.851012
47,1.88301
48,1.913555
49,1.94467
50,1.975108
